[rosmaster.master][INFO] 2021-10-22 12:22:55,165: +PARAM [/ss42/image_rect/compressed/jpeg_quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,170: +PARAM [/ss42/image_rect/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,175: +PARAM [/ss42/image_rect/compressed/format] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,180: +PARAM [/ss42/image_rect/compressed/jpeg_quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,184: +PARAM [/ss42/image_rect/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,190: +PUB [/ss42/image_rect] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,196: +PUB [/ss42/image_rect/theora] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,201: +SERVICE [/ss42/image_rect/theora/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,205: +PUB [/ss42/image_rect/theora/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,209: +PUB [/ss42/image_rect/theora/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,228: +PARAM [/ss42/image_rect/theora/optimize_for] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,232: +PARAM [/ss42/image_rect/theora/target_bitrate] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,237: +PARAM [/ss42/image_rect/theora/quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,241: +PARAM [/ss42/image_rect/theora/keyframe_frequency] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,246: +PARAM [/ss42/image_rect/theora/optimize_for] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,251: +PARAM [/ss42/image_rect/theora/target_bitrate] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,256: +PARAM [/ss42/image_rect/theora/quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,260: +PARAM [/ss42/image_rect/theora/keyframe_frequency] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,274: +SERVICE [/ss42/image_proc_node_rectify_color/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,279: +PUB [/ss42/image_proc_node_rectify_color/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,284: +PUB [/ss42/image_proc_node_rectify_color/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,292: +PARAM [/ss42/image_proc_node_rectify_color/interpolation] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,316: +PARAM [/ss42/image_proc_node_rectify_color/interpolation] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,325: +PUB [/ss42/camera_node/image/rect/compressedDepth] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,330: +SERVICE [/ss42/camera_node/image/rect/compressedDepth/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,334: +PUB [/ss42/camera_node/image/rect/compressedDepth/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,339: +PUB [/ss42/camera_node/image/rect/compressedDepth/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,356: +PARAM [/ss42/camera_node/image/rect/compressedDepth/depth_max] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,360: +PARAM [/ss42/camera_node/image/rect/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,365: +PARAM [/ss42/camera_node/image/rect/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,370: +PARAM [/ss42/camera_node/image/rect/compressedDepth/depth_max] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,374: +PARAM [/ss42/camera_node/image/rect/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,379: +PARAM [/ss42/camera_node/image/rect/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,384: +PUB [/ss42/camera_node/image/rect/compressed] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,389: +SERVICE [/ss42/camera_node/image/rect/compressed/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,393: +PUB [/ss42/camera_node/image/rect/compressed/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,398: +PUB [/ss42/camera_node/image/rect/compressed/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,415: +PARAM [/ss42/camera_node/image/rect/compressed/format] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,420: +PARAM [/ss42/camera_node/image/rect/compressed/jpeg_quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,424: +PARAM [/ss42/camera_node/image/rect/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,429: +PARAM [/ss42/camera_node/image/rect/compressed/format] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,433: +PARAM [/ss42/camera_node/image/rect/compressed/jpeg_quality] by /ss42/image_proc_node
